"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
253,"NCT01553188","AMG 386 and Abiraterone for Advanced Prostate Cancer",,"Completed","Has Results","Prostatic Neoplasms|Prostate Cancer|Neoplasm, Prostate|Neoplasm,Prostatic","Drug: AMG 386|Drug: Abiraterone|Drug: Prednisone","Progression Free Survival (PFS)|Radiographic Progression Free Survival|Overall Survival|Count of Participants With Serious and Non-serious Adverse Events","National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC)","Male","18 Years to 100 Years   (Adult, Older Adult)","Phase 2","36","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","120079|12-C-0079","February 8, 2012","April 20, 2017","July 1, 2018","March 14, 2012","October 16, 2018","March 5, 2019","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States|Fox Chase Cancer Center, Philadelphia, Pennsylvania, United States","""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/88/NCT01553188/Prot_SAP_ICF_000.pdf","https://ClinicalTrials.gov/show/NCT01553188"
254,"NCT00996671","Phase I Study to Evaluate Safety, Pharmacokinetics and Pharmacodynamics of GSK2256098 in Healthy Volunteers","FTIH","Completed","No Results Available","Cancer","Drug: GSK2256098|Drug: Placebo","To characterize the safety of single doses of GSK2256098 in adult healthy subjects|To characterize the single dose pharmacokinetics of GSK2256098 in blood and urine in adult healthy subjects|To examine the dose proportionality of GSK2256098 pharmacokinetic parameters following single dose administration in healthy subjects|To explore dose- and concentration-effect relationships for various safety parameters, if appropriate|To estimate the effect of high fat/calorie meal on the pharmacokinetics, safety, and tolerability of a single dose of GSK2256098.|To explore and potentially identify small molecules or cytokines in plasma which may serve as biomarkers for future studies","GlaxoSmithKline","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","38","Industry","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","113581","November 6, 2009","March 17, 2010","March 17, 2010","October 16, 2009",,"June 14, 2017","GSK Investigational Site, Melbourne, Victoria, Australia",,"https://ClinicalTrials.gov/show/NCT00996671"
255,"NCT03028103","Open-Label, Multicenter, Two-Part, Phase 1 Study to Characterize Effects of a Moderate CYP3A Inhibitor on PK of Tazemetostat, Effects of Tazemetostat on PK of CYP2C8 and CYP2C19 Substrates, and Effect of Increased Gastric pH on PK of Tazemetostat in B-cell Lymphoma or Advanced Solid Tumor Patients",,"Completed","Has Results","Diffuse Large B Cell Lymphoma|Primary Mediastinal Lymphoma|Mantle Cell Lymphoma|Advanced Solid Tumor|Marginal Zone Lymphoma","Drug: Tazemetostat|Drug: Fluconazole|Drug: Omeprazole|Drug: Repaglinide","Part A: Effect of CYP3A Inhibition by Fluconazole on the PK of Tazemetostat (AUC0-t, AUC0-8)|Part A: Cmax of Tazemetostat During Co-administration With Fluconazole|Part B: The Potential of Tazemetostat to Inhibit or Induce CYP2C8 Using Repaglinide as a Probe Substrate (AUC0-t, AUC0-∞)|Part B: Cmax of Repaglinide During Co-administration With Tazemetostat|Part B: The Potential of Tazemetostat to Inhibit or Induce CYP2C19 Using Omeprazole as Probe a Substrate (AUC0-t, AUC0-∞)|Part B: Cmax of Omeprazole During Co-administration With Tazemetostat|Part B: Effect of Increased Gastric pH by Omeprazole on the PK of Tazemetostat (AUC0-t, AUC0-8)|Part B: Cmax of Tazemetostat During Co-administration With Omeprazole|Incidence of Treatment-emergent Adverse Events as a Measure of Safety|Part A: PK of Tazemetostat and Its Metabolites After Administration Alone and With Fluconazole (AUC0-t, AUC0-8)|Part A: Tmax of Tazemetostat After Administration Alone and With Fluconazole|Part A: t1/2 of Tazemetostat After Administration Alone and With Fluconazole|Part A: Cmax of Tazemetostat Metabolites After Administration Alone and With Fluconazole|Part A: Tmax of Tazemetostat Metabolites After Administration Alone and With Fluconazole|Part A: t1/2 of Tazemetostat Metabolites After Administration Alone and With Fluconazole|Part A: Exposure of Fluconazole After Administration of 400 mg Once Daily for 4 Days (AUC0-8)|Part A: Cmax of Fluconazole After Administration of 400mg Once Daily for 4 Days|Part A: Tmax of Fluconazole After Administration of 400mg Once Daily for 4 Days|The Antitumor Activity of Tazemetostat Will be Assessed in Patients With Diffuse Large B-cell Lymphoma (DLBCL), Marginal Zone Lymphoma (MZL), Follicular Lymphoma (FL) or Advanced Solid Tumors .","Epizyme, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1","32","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EZH-105","March 27, 2017","October 31, 2019","November 29, 2019","January 23, 2017","April 19, 2021","April 19, 2021","University of Arizona Cancer Center, Tucson, Arizona, United States|Moffitt Cancer Center, Tampa, Florida, United States|Columbia University Medical Center, New York, New York, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/03/NCT03028103/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03028103"
256,"NCT04150250","Cholera Anti-Secretory Treatment Trial","CAST","Completed","Has Results","Cholera","Drug: iOWH032|Drug: Placebo|Other: V. cholerae Challenge|Drug: Antibiotics","Diarrheal Stool Output Rate|Diarrheal Stool Output Rate Including Participants With Symptom Onset After 48 Hours|Number of Participants With Treatment-emergent Serious Adverse Events|Percentage of Participants With Moderate to Severe Diarrhea With Onset Within 48 Hours Following Cholera Challenge|Attack Rate of Any Diarrhea Following Cholera Challenge|Area Under the Curve (AUC) of Diarrheal Stool Volume Between Challenge Dose and Initiation of Antibiotics|Peak Shedding of Cholera Organisms|Duration of Diarrheal Episodes|Total Number of Loose (Grade 3-5) Stools|Percentage of Participants With Fever Following Cholera Challenge|Percentage of Participants With Vomiting Following Cholera Challenge|Number of Participants With Solicited Adverse Effects|Number of Participants With Unsolicited Treatment-emergent Adverse Events (TEAE)","PATH|University of Maryland, Baltimore|Pharmaron","All","18 Years to 44 Years   (Adult)","Phase 2","47","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","DRG-032-PO-2-01-USA","November 4, 2019","July 27, 2020","July 27, 2020","November 4, 2019","March 25, 2021","March 25, 2021","Pharmaron, Baltimore, Maryland, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/50/NCT04150250/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/50/NCT04150250/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT04150250"
257,"NCT03437538","Reduction Ratio and Clearance During Hemodialysis With MCO-filter Compared to HDF With Standard High-flux Filter",,"Completed","No Results Available","Chronic Kidney Failure|Uremia|Dialysis","Device: MCO-HD|Device: High-flux HDF","Reduction ratio (RR) of middle molecules (Beta-2-microglobulin, Cystatin C, Myoglobin, Beta-Trace Protein, Troponin T, Prealbumin)|Instantaneous arteriovenous clearance of middle molecules (Beta-2-microglobulin, Cystatin C, Myoglobin, Beta-Trace Protein, Troponin T, Prealbumin)|RR of large molecules (Albumin, Transferrin, IgG)|RR of small molecules (Urea, Phosphate, Creatinine)|Number of Adverse Events|Instantaneous arteriovenous clearance of large molecules (Albumin, Transferrin, IgG)|Instantaneous arteriovenous clearance of small molecules (Urea, Phosphate, Creatinine)","Region Skane|Lund University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","18","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2017/830/1","May 21, 2018","April 16, 2019","April 16, 2019","February 19, 2018",,"November 13, 2019","Skane University Hospital, Malmö, Sweden",,"https://ClinicalTrials.gov/show/NCT03437538"
258,"NCT00367471","Combination Of Lapatinib With Carboplatin, Paclitaxel, and With or Without Trastuzumab In Metastatic Breast Cancer.",,"Completed","No Results Available","Neoplasms, Breast","Drug: lapatinib|Drug: carboplatin|Drug: trastuzumab|Drug: paclitaxel","Adverse events and safety evaluations|Tumor response by RECIST version 1.0|Duration of Response (DOR)|Progression-free survival (PFS)","Novartis Pharmaceuticals|Novartis","All","18 Years and older   (Adult, Older Adult)","Phase 1","31","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","EGF103892|CLAP016A2102","December 7, 2006","December 22, 2010","September 12, 2019","August 23, 2006",,"September 9, 2020","Novartis Investigative Site, La Jolla, California, United States|Novartis Investigative Site, Indianapolis, Indiana, United States|Novartis Investigative Site, Greensboro, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT00367471"
259,"NCT05219656","Efficacy of Cyclosporine Rescue Therapy in Acute Ulcerative Colitis.","Cyclo","Completed","No Results Available","Ulcerative Colitis Acute","Drug: Cyclosporine A","Response|Remission|Adverse events|Surgical complications","Tampere University Hospital","All","16 Years and older   (Child, Adult, Older Adult)",,"182","Other","Observational","Observational Model: Other|Time Perspective: Other","R19617","January 1, 2009","December 30, 2018","January 1, 2022","February 2, 2022",,"February 2, 2022",,,"https://ClinicalTrials.gov/show/NCT05219656"
260,"NCT00550485","Pharmacokinetic and Pharmacodynamic Effects of Escitalopram Depending on Genetic Polymorphisms of the ABCB1-gene",,"Completed","No Results Available","Pharmacokinetics","Drug: escitalopram","Time spent in rapid-eye-movement (REM) sleep assessed by polysomnography.|Sleep stages|Sleep continuity|ABCB1 gene expression|Metabolic changes","Max-Planck-Institute of Psychiatry","Male","20 Years to 30 Years   (Adult)","Not Applicable","79","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","L3/2005","October 2007","July 6, 2018","July 6, 2018","October 30, 2007",,"March 27, 2019","Max Planck Institute of Psychiatry, Munich, Germany",,"https://ClinicalTrials.gov/show/NCT00550485"
261,"NCT03289832","Effect of Orally Delivered Phytochemicals on Aging and Inflammation in the Skin",,"Completed","No Results Available","Healthy Adults","Dietary Supplement: Crucera-SGS|Dietary Supplement: Meriva 500-SF","Change in Erythema 1 Day After UV Exposure|Change in Erythema 2 Days After UV Exposure|Change in Erythema 3 Days After UV Exposure|Bioavailability of Supplement Metabolites in bodily fluids|Change in metabolomic profile|Change in tissue-based RNA biomarkers of inflammation|Change in tissue-based protein biomarkers of inflammation|Change in blood-based biomarkers of inflammation|Change in urine-based biomarkers of inflammation|Change in RNA markers of aging and protection from UV damage|Change in protein and small-molecule markers of aging and protection from UV damage","Johns Hopkins University","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","25","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Prevention","IRB00117754","September 25, 2017","October 23, 2019","October 23, 2019","September 21, 2017",,"July 21, 2020","Johns Hopkins, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT03289832"
262,"NCT04834921","MCO Membrane Efficiency in Septic Shock Patients",,"Completed","No Results Available","Septic Shock|Acute Kidney Injury","Device: Ultraflux® EMiC®2","improvement in haemodynamic parameters|clerance of cytokine|Efficiency for middle molecules|Efficiency for small molecules|removal of antibiotics","Fiorenza Ferrari|International Renal Research Institute Vicenza|University of Giessen|IRCCS Policlinico S. Matteo","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Investigator)|Primary Purpose: Supportive Care","46/15A","December 31, 2017","February 21, 2020","January 31, 2021","April 8, 2021",,"April 12, 2021","Fiorenza Ferrari, Pavia, PV, Italy",,"https://ClinicalTrials.gov/show/NCT04834921"
263,"NCT00055380","Chemical and Genetic Effects of the Experimental Anti-Cancer Drugs in Cheek Cells in Cancer Patients",,"Completed","No Results Available","Cancer","Procedure: Oral cytobrushing",,"National Institute of Dental and Craniofacial Research (NIDCR)|National Institutes of Health Clinical Center (CC)","All","Child, Adult, Older Adult","Phase 1","120","NIH","Interventional","Primary Purpose: Treatment","030115|03-D-0115","February 2003",,"October 2005","February 28, 2003",,"March 4, 2008","National Institute of Dental And Craniofacial Research (NIDCR), Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT00055380"
264,"NCT00692159","Study of TRC102 in Combination With Pemetrexed in Cancer Patients",,"Completed","No Results Available","Neoplasm","Drug: TRC102 + pemetrexed","To determine the recommended Phase 2 dose and overall safety and tolerability of TRC102 when given alone and when combined with pemetrexed for the treatment of patients with advanced solid or metastatic cancer for whom curative therapy is unavailable.|Characterize pharmacokinetics, assess anti-tumor activity, and assess pharmacodynamics","Tracon Pharmaceuticals Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1","28","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","102ST101","June 2008","June 2010","September 2010","June 6, 2008",,"September 10, 2010","Scottsdale, Arizona, United States|Santa Monica, California, United States|Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT00692159"
265,"NCT03783637","Measuring Single-Serving Grain Intake",,"Completed","No Results Available","Healthy Volunteers","Other: Whole grain oats|Other: Whole grain wheat","Identification of unknown biomarkers of grain intake immediately after grain consumption|Identification of unknown biomarkers of grain intake a day after grain consumption|Identification of unknown biomarkers of grain intake 2 days after grain consumption|Blood glucose|Serum insulin|Serum c-peptide|Non-esterified fatty acids in blood|Triglycerides in blood","USDA Beltsville Human Nutrition Research Center","All","21 Years to 75 Years   (Adult, Older Adult)","Not Applicable","12","U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Other","HS62 - Single Grain","May 13, 2019","June 19, 2019","June 19, 2019","December 21, 2018",,"July 5, 2019","USDA-ARS Beltsville Human Nutrition Research Center, Beltsville, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT03783637"
